20200523-175947,INFO,____Sample,__CPU_Temp,_senseTemp,_sensHumid,_sensePres,__DHT_Temp,_DHT_Humid, _temp_diff, __hum_diff, temp_factor, hum_factor
20200523-180027,INFO,1,46.16,32.03,58.67,1025.48,25.6,73.5,6.43,-14.83,2.2,0.84
20200523-180107,INFO,2,45.62,31.99,58.26,1025.46,25.6,74.0,6.39,-15.74,2.13,0.8
20200523-180146,INFO,3,45.62,32.1,58.9,1025.47,25.6,74.2,6.5,-15.3,2.08,0.87
20200523-180226,INFO,4,46.16,32.28,58.11,1025.47,25.7,73.8,6.58,-15.69,2.11,0.76
20200523-180306,INFO,5,46.16,32.28,58.25,1025.52,25.7,73.8,6.58,-15.55,2.11,0.78
20200523-180345,INFO,6,45.62,32.37,58.12,1025.48,25.7,73.7,6.67,-15.58,1.99,0.8
20200523-180425,INFO,7,46.16,32.57,57.77,1025.56,25.7,73.7,6.87,-15.93,1.98,0.73
20200523-180505,INFO,8,46.16,32.57,57.5,1025.56,25.7,73.6,6.87,-16.1,1.98,0.7
20200523-180544,INFO,9,45.62,32.41,57.86,1025.56,25.7,73.6,6.71,-15.74,1.97,0.78
20200523-180624,INFO,10,46.16,32.57,57.31,1025.59,25.7,73.5,6.87,-16.19,1.98,0.69
20200523-180823,INFO,11,46.16,32.63,57.61,1025.57,25.7,73.4,6.93,-15.79,1.95,0.73
20200523-180903,INFO,12,46.16,32.61,56.92,1025.59,25.7,73.4,6.91,-16.48,1.96,0.65
20200523-181022,INFO,13,46.16,32.61,57.19,1025.65,25.7,73.3,6.91,-16.11,1.96,0.68
20200523-181102,INFO,14,46.16,32.65,57.19,1025.63,25.7,73.2,6.95,-16.01,1.94,0.69
20200523-181141,INFO,15,46.16,32.79,56.93,1025.62,25.8,73.3,6.99,-16.37,1.91,0.66
20200523-181301,INFO,16,47.24,32.81,57.4,1025.67,25.8,73.3,7.01,-15.9,2.06,0.64
20200523-181420,INFO,17,46.16,32.74,57.02,1025.67,25.8,73.4,6.94,-16.38,1.93,0.66
20200523-181500,INFO,18,46.16,32.83,56.48,1025.66,25.8,73.3,7.03,-16.82,1.9,0.61
20200523-181539,INFO,19,46.16,32.74,56.76,1025.63,25.8,73.2,6.94,-16.44,1.93,0.64
20200523-181619,INFO,20,46.16,32.7,56.83,1025.67,25.8,73.2,6.9,-16.37,1.95,0.65
20200523-181659,INFO,21,46.16,32.76,56.79,1025.73,25.8,73.2,6.96,-16.41,1.93,0.65
20200523-181738,INFO,22,46.16,32.77,56.45,1025.73,25.8,73.3,6.97,-16.85,1.92,0.61
20200523-181818,INFO,23,46.16,32.86,56.37,1025.69,25.8,73.3,7.06,-16.93,1.88,0.6
