20200527-091851,INFO,____Sample,__CPU_Temp,_senseTemp,_sensHumid,_sensePres,__DHT_Temp,_DHT_Humid, _temp_diff, __hum_diff, temp_factor, hum_factor
20200527-091851,INFO,ERROR,Sensor failure. Check wiring.
20200527-091931,INFO,1,37.55,25.88,56.09,1027.66,23.9,53.6,1.98,2.49,5.89,-7.45
20200527-092011,INFO,2,38.63,26.11,55.42,1027.68,23.9,53.7,2.21,1.72,5.67,-9.76
20200527-092050,INFO,ERROR,Sensor failure. Check wiring.
20200527-092130,INFO,3,39.7,26.62,54.71,1027.68,23.9,53.5,2.72,1.21,4.81,-12.4
20200527-092210,INFO,4,40.24,26.84,53.34,1027.8,24.0,53.6,2.84,-0.26,4.72,50.38
20200527-092249,INFO,5,39.7,27.16,52.98,1027.81,24.0,53.3,3.16,-0.32,3.97,41.5
20200527-092329,INFO,6,40.24,27.44,52.15,1027.81,24.0,53.4,3.44,-1.25,3.72,9.53
20200527-092409,INFO,7,40.78,27.69,51.82,1027.79,24.0,53.8,3.69,-1.98,3.55,5.58
20200527-092448,INFO,ERROR,Sensor failure. Check wiring.
20200527-092528,INFO,ERROR,Sensor failure. Check wiring.
20200527-092608,INFO,8,41.32,27.98,50.55,1027.78,24.1,53.2,3.88,-2.65,3.44,3.48
20200527-092647,INFO,9,41.86,28.07,50.11,1027.79,24.1,52.7,3.97,-2.59,3.47,3.19
20200527-092727,INFO,10,41.86,28.49,49.85,1027.79,24.1,52.6,4.39,-2.75,3.05,2.91
20200527-092807,INFO,11,41.86,28.8,50.39,1027.8,24.1,53.2,4.7,-2.81,2.78,3.04
20200527-092846,INFO,12,42.39,28.93,49.09,1027.78,24.1,53.3,4.83,-4.21,2.79,1.59
20200527-092926,INFO,13,42.39,28.87,48.36,1027.77,24.1,52.9,4.77,-4.54,2.83,1.31
20200527-093006,INFO,14,42.39,29.03,48.27,1027.67,24.1,51.8,4.93,-3.53,2.71,1.67
20200527-093045,INFO,15,42.39,29.11,48.87,1027.75,24.2,53.0,4.91,-4.13,2.7,1.57
20200527-093125,INFO,16,42.93,29.12,48.19,1027.72,24.2,53.2,4.92,-5.01,2.81,1.05
20200527-093205,INFO,17,42.93,29.14,47.85,1027.69,24.2,53.1,4.94,-5.25,2.79,0.94
20200527-093244,INFO,ERROR,Sensor failure. Check wiring.
20200527-093324,INFO,18,42.93,29.2,47.83,1027.68,24.2,52.9,5.0,-5.07,2.75,0.97
