20200524-110016,INFO,____Sample,__CPU_Temp,_senseTemp,_sensHumid,_sensePres,__DHT_Temp,_DHT_Humid, _temp_diff, __hum_diff, temp_factor, hum_factor
20200524-111011,INFO,1,42.39,28.67,55.71,1030.04,24.2,62.3,4.47,-6.59,3.07,2.02
20200524-111051,INFO,2,41.86,28.63,56.3,1030.07,24.3,62.5,4.33,-6.2,3.06,2.33
20200524-111130,INFO,3,42.39,28.87,56.48,1030.07,24.3,62.7,4.57,-6.22,2.96,2.27
20200524-111210,INFO,4,42.93,28.98,55.75,1030.1,24.3,63.0,4.68,-7.25,2.98,1.77
20200524-111250,INFO,5,42.39,29.02,55.8,1030.06,24.3,62.4,4.72,-6.6,2.83,2.03
20200524-111329,INFO,6,41.86,28.93,55.45,1030.08,24.3,62.6,4.63,-7.15,2.79,1.9
20200524-111409,INFO,7,42.39,28.94,56.44,1030.08,24.3,62.2,4.64,-5.76,2.9,2.44
20200524-111449,INFO,8,42.93,29.12,55.6,1030.14,24.3,62.7,4.82,-7.1,2.87,1.78
20200524-111528,INFO,9,42.93,29.02,55.49,1030.1,24.4,62.8,4.62,-7.31,3.01,1.72
20200524-111608,INFO,10,42.93,29.07,55.9,1030.08,24.4,63.0,4.67,-7.1,2.97,1.83
20200524-111648,INFO,11,42.93,29.29,56.23,1030.13,24.4,63.3,4.89,-7.07,2.79,1.88
20200524-111727,INFO,12,43.47,29.42,55.96,1030.11,24.4,63.9,5.02,-7.94,2.8,1.57
20200524-111807,INFO,13,42.93,29.36,55.54,1030.09,24.4,64.1,4.96,-8.56,2.74,1.47
20200524-111847,INFO,14,42.93,29.32,56.05,1030.09,24.4,64.2,4.92,-8.15,2.77,1.61
20200524-111926,INFO,15,42.93,29.47,56.63,1030.08,24.5,64.7,4.97,-8.07,2.71,1.7
20200524-112006,INFO,16,43.47,29.34,56.7,1030.1,24.5,65.2,4.84,-8.5,2.92,1.56
20200524-112046,INFO,17,43.47,29.52,56.85,1030.06,24.5,65.6,5.02,-8.75,2.78,1.53
20200524-112125,INFO,18,44.01,29.34,57.82,1030.09,24.5,66.2,4.84,-8.38,3.03,1.65
20200524-112245,INFO,19,42.93,29.58,57.52,1030.05,24.5,67.0,5.08,-9.48,2.63,1.54
20200524-112324,INFO,20,43.47,29.34,57.56,1030.08,24.5,67.0,4.84,-9.44,2.92,1.49
20200524-112404,INFO,21,43.47,29.51,58.44,1029.99,24.5,67.1,5.01,-8.66,2.79,1.73
20200524-112444,INFO,22,43.47,29.63,58.16,1030.03,24.5,67.2,5.13,-9.04,2.7,1.62
20200524-112523,INFO,23,43.47,29.45,58.08,1029.99,24.5,67.8,4.95,-9.72,2.83,1.5
20200524-112603,INFO,24,43.47,29.38,58.57,1030.15,24.5,68.1,4.88,-9.53,2.89,1.58
20200524-112643,INFO,25,43.47,29.34,58.81,1030.06,24.5,68.5,4.84,-9.69,2.92,1.58
20200524-112722,INFO,26,43.47,29.47,59.16,1030.06,24.5,68.6,4.97,-9.44,2.82,1.66
20200524-112802,INFO,27,43.47,29.58,59.69,1030.07,24.5,69.1,5.08,-9.41,2.73,1.72
20200524-112842,INFO,28,44.01,29.43,58.89,1030.01,24.5,68.7,4.93,-9.81,2.96,1.52
20200524-112921,INFO,29,43.47,29.56,59.1,1030.08,24.5,68.9,5.06,-9.8,2.75,1.59
