20200526-085517,INFO,____Sample,__CPU_Temp,_senseTemp,_sensHumid,_sensePres,__DHT_Temp,_DHT_Humid, _temp_diff, __hum_diff, temp_factor, hum_factor
20200526-085518,INFO,ERROR,Sensor failure. Check wiring.
20200526-085558,INFO,1,38.63,25.77,69.69,1027.37,23.2,72.2,2.57,-2.51,5.0,12.37
20200526-085638,INFO,2,39.17,26.22,69.17,1027.42,23.3,69.7,2.92,-0.53,4.43,56.6
20200526-085717,INFO,3,39.7,26.44,68.47,1027.39,23.3,72.0,3.14,-3.53,4.22,8.15
20200526-085757,INFO,4,39.7,26.84,67.51,1027.54,23.4,72.4,3.44,-4.89,3.74,5.69
20200526-085837,INFO,5,40.78,27.11,65.92,1027.55,23.5,70.4,3.61,-4.48,3.79,5.61
20200526-085916,INFO,6,40.78,27.4,65.45,1027.58,23.5,70.4,3.9,-4.95,3.43,4.98
20200526-085956,INFO,7,40.78,27.64,64.05,1027.56,23.6,70.6,4.04,-6.55,3.25,3.55
20200526-090036,INFO,8,40.78,27.33,62.84,1027.55,23.6,69.5,3.73,-6.66,3.61,3.31
20200526-090115,INFO,9,41.32,27.65,63.07,1027.56,23.5,68.0,4.15,-4.93,3.29,4.41
20200526-090155,INFO,10,41.32,27.35,62.36,1027.55,23.6,68.2,3.75,-5.84,3.73,3.6
20200526-090235,INFO,11,40.78,27.4,62.38,1027.5,23.5,68.1,3.9,-5.72,3.43,3.78
20200526-090314,INFO,12,40.78,27.55,61.83,1027.5,23.4,67.0,4.15,-5.17,3.19,4.07
20200526-090354,INFO,13,40.78,27.18,61.78,1027.51,23.2,68.5,3.98,-6.72,3.42,3.13
20200526-090434,INFO,14,40.78,27.04,62.29,1027.52,23.2,68.3,3.84,-6.01,3.58,3.58
20200526-090513,INFO,15,40.78,27.18,62.32,1027.53,23.2,68.0,3.98,-5.68,3.42,3.79
20200526-090553,INFO,16,40.78,27.2,62.01,1027.53,23.1,69.2,4.1,-7.19,3.31,2.95
20200526-090633,INFO,ERROR,Sensor failure. Check wiring.
20200526-090712,INFO,17,41.32,27.44,61.94,1027.53,23.2,69.0,4.24,-7.06,3.27,2.92
20200526-090752,INFO,18,40.78,27.69,61.19,1027.57,23.1,68.5,4.59,-7.31,2.85,2.79
20200526-090832,INFO,19,40.78,27.71,61.07,1027.47,23.2,69.1,4.51,-8.03,2.9,2.53
20200526-090911,INFO,ERROR,Sensor failure. Check wiring.
20200526-090951,INFO,ERROR,Sensor failure. Check wiring.
20200526-091031,INFO,20,41.32,27.71,60.54,1027.47,23.2,68.9,4.51,-8.36,3.02,2.3
20200526-091110,INFO,ERROR,Sensor failure. Check wiring.
20200526-091150,INFO,21,41.32,27.71,60.21,1027.52,23.2,68.2,4.51,-7.99,3.02,2.36
20200526-091230,INFO,22,41.32,27.87,58.33,1027.56,23.2,67.1,4.67,-8.77,2.88,1.94
20200526-091309,INFO,ERROR,Sensor failure. Check wiring.
20200526-091349,INFO,23,41.32,27.69,58.74,1027.54,23.2,67.2,4.49,-8.46,3.04,2.06
20200526-091429,INFO,24,41.86,27.78,58.98,1027.55,23.2,66.8,4.58,-7.82,3.07,2.19
20200526-091508,INFO,25,41.86,27.82,59.18,1027.53,23.1,67.3,4.72,-8.12,2.97,2.13
20200526-091548,INFO,26,41.86,28.22,58.73,1027.55,23.2,67.6,5.02,-8.87,2.72,1.9
20200526-091628,INFO,27,42.39,28.29,57.7,1027.58,23.2,67.6,5.09,-9.9,2.77,1.55
20200526-091707,INFO,28,42.39,28.24,58.06,1027.59,23.3,67.2,4.94,-9.14,2.86,1.71
20200526-091747,INFO,ERROR,Sensor failure. Check wiring.
20200526-091826,INFO,29,41.86,28.31,57.51,1027.58,23.2,66.7,5.11,-9.19,2.65,1.7
20200526-091906,INFO,30,41.86,28.53,57.56,1027.62,23.3,67.0,5.23,-9.44,2.55,1.66
20200526-091946,INFO,31,42.39,28.47,57.55,1027.61,23.3,66.7,5.17,-9.15,2.69,1.66
20200526-092025,INFO,32,41.86,28.4,57.52,1027.63,23.4,66.8,5.0,-9.28,2.69,1.69
20200526-092105,INFO,33,41.86,28.47,57.55,1027.6,23.3,66.3,5.17,-8.75,2.59,1.79
20200526-092145,INFO,ERROR,Sensor failure. Check wiring.
20200526-092224,INFO,34,41.86,28.38,57.46,1027.59,23.4,66.5,4.98,-9.04,2.71,1.73
20200526-092304,INFO,ERROR,Sensor failure. Check wiring.
20200526-092344,INFO,35,42.39,28.51,57.39,1027.67,23.3,66.9,5.21,-9.51,2.66,1.58
20200526-092423,INFO,ERROR,Sensor failure. Check wiring.
20200526-092503,INFO,ERROR,Sensor failure. Check wiring.
20200526-092543,INFO,36,43.47,28.78,56.48,1027.54,23.4,66.8,5.38,-10.32,2.73,1.26
20200526-092622,INFO,37,42.93,28.76,55.75,1027.59,23.4,66.8,5.36,-11.05,2.64,1.16
20200526-092702,INFO,38,42.93,28.91,56.71,1027.5,23.4,65.7,5.51,-8.99,2.54,1.53
20200526-092742,INFO,39,42.93,28.93,55.98,1027.53,23.4,66.2,5.53,-10.22,2.53,1.28
20200526-092821,INFO,40,42.39,28.69,56.24,1027.6,23.4,66.4,5.29,-10.16,2.59,1.36
20200526-092901,INFO,ERROR,Sensor failure. Check wiring.
20200526-092941,INFO,41,42.93,28.63,56.68,1027.6,23.4,66.1,5.23,-9.42,2.73,1.46
20200526-093020,INFO,42,42.39,28.69,56.29,1027.6,23.4,65.7,5.29,-9.41,2.59,1.48
20200526-093100,INFO,43,42.39,28.58,56.51,1027.63,23.4,65.6,5.18,-9.09,2.67,1.55
20200526-093140,INFO,44,42.39,28.62,56.63,1027.61,23.5,66.1,5.12,-9.47,2.69,1.5
20200526-093219,INFO,45,42.93,28.62,56.89,1027.62,23.5,66.1,5.12,-9.21,2.79,1.52
