20200522-085523,INFO,____Sample,__CPU_Temp,_senseTemp,_sensHumid,_sensePres,__DHT_Temp,_DHT_Humid, _temp_diff, __hum_diff, temp_factor, hum_factor
20200522-090040,INFO,1,40.78,27.27,61.81,1023.99,21.0,75.7,6.27,-13.89,2.15,1.51
20200522-090120,INFO,2,40.78,27.53,61.43,1023.9,21.0,75.8,6.53,-14.37,2.03,1.44
20200522-090239,INFO,3,40.78,27.87,60.14,1023.8,21.0,75.7,6.87,-15.56,1.88,1.24
20200522-090319,INFO,4,40.78,27.96,59.84,1023.85,21.0,75.6,6.96,-15.76,1.84,1.21
20200522-090438,INFO,5,41.86,28.42,58.24,1023.76,21.1,76.8,7.32,-18.56,1.84,0.88
20200522-090518,INFO,6,41.86,28.16,58.71,1023.76,21.1,76.8,7.06,-18.09,1.94,0.93
20200522-090637,INFO,7,41.86,28.27,58.96,1023.84,21.1,76.0,7.17,-17.04,1.9,1.0
20200522-090757,INFO,8,41.86,28.34,58.53,1023.79,21.1,77.0,7.24,-18.47,1.87,0.9
20200522-090836,INFO,9,41.86,28.51,58.67,1023.76,21.1,76.9,7.41,-18.23,1.8,0.92
20200522-090916,INFO,10,42.93,28.49,58.08,1023.8,21.2,77.0,7.29,-18.92,1.98,0.8
20200522-090956,INFO,11,41.86,28.67,57.74,1023.87,21.2,76.9,7.47,-19.16,1.77,0.83
20200522-091115,INFO,12,42.39,28.89,56.72,1023.86,21.2,75.9,7.69,-19.18,1.76,0.75
20200522-091155,INFO,13,42.93,28.96,57.23,1023.83,21.2,75.7,7.76,-18.47,1.8,0.77
20200522-091234,INFO,14,42.93,29.02,56.79,1023.85,21.2,75.7,7.82,-18.91,1.78,0.73
20200522-091314,INFO,15,42.93,29.11,56.85,1023.86,21.3,75.9,7.81,-19.05,1.77,0.73
20200522-091354,INFO,16,43.47,29.0,56.63,1023.88,21.3,75.9,7.7,-19.27,1.88,0.68
20200522-091433,INFO,17,42.93,29.03,56.99,1023.91,21.3,76.0,7.73,-19.01,1.8,0.74
20200522-091553,INFO,18,42.93,29.29,55.6,1023.91,21.4,76.2,7.89,-20.6,1.73,0.62
20200522-091632,INFO,19,43.47,29.09,56.6,1023.93,21.4,75.7,7.69,-19.1,1.87,0.69
20200522-091752,INFO,20,42.93,29.03,56.58,1023.9,21.4,75.2,7.63,-18.62,1.82,0.73
20200522-091831,INFO,21,42.93,29.09,56.41,1023.95,21.4,75.3,7.69,-18.89,1.8,0.71
20200522-091911,INFO,22,42.93,29.05,56.66,1023.94,21.4,75.3,7.65,-18.64,1.81,0.74
20200522-091951,INFO,23,42.93,29.03,56.55,1023.92,21.4,75.3,7.63,-18.75,1.82,0.73
20200522-092030,INFO,24,42.93,28.76,56.16,1023.94,21.4,75.4,7.36,-19.24,1.93,0.69
20200522-092110,INFO,25,43.47,28.78,57.09,1023.96,21.4,75.8,7.38,-18.71,1.99,0.73
20200522-092150,INFO,26,42.93,29.07,57.1,1023.96,21.4,75.8,7.67,-18.7,1.81,0.76
20200522-092229,INFO,27,42.93,29.12,56.75,1023.94,21.4,75.5,7.72,-18.75,1.79,0.74
20200522-092309,INFO,28,43.47,29.07,57.2,1023.96,21.4,75.7,7.67,-18.5,1.88,0.74
20200522-092349,INFO,29,43.47,29.29,56.92,1023.95,21.5,75.6,7.79,-18.68,1.82,0.72
20200522-092428,INFO,30,42.93,29.25,56.23,1023.94,21.5,75.3,7.75,-19.07,1.77,0.7
20200522-092508,INFO,31,44.01,29.31,56.52,1023.96,21.5,75.2,7.81,-18.68,1.88,0.67
20200522-092548,INFO,32,43.47,29.29,56.18,1023.97,21.5,75.0,7.79,-18.82,1.82,0.68
20200522-092627,INFO,33,43.47,29.4,56.52,1024.01,21.5,75.0,7.9,-18.48,1.78,0.71
20200522-092707,INFO,34,42.93,29.45,56.32,1024.0,21.5,75.2,7.95,-18.88,1.7,0.71
20200522-092747,INFO,35,43.47,29.38,56.29,1023.99,21.6,75.1,7.78,-18.81,1.81,0.68
20200522-092826,INFO,36,43.47,29.54,56.16,1023.98,21.6,75.4,7.94,-19.24,1.75,0.66
20200522-092906,INFO,37,43.47,29.49,56.36,1023.97,21.6,75.4,7.89,-19.04,1.77,0.68
20200522-092946,INFO,38,43.47,29.54,55.96,1023.98,21.6,75.5,7.94,-19.54,1.75,0.64
20200522-093025,INFO,39,44.01,29.65,55.7,1023.99,21.7,75.2,7.95,-19.5,1.81,0.6
20200522-093105,INFO,40,42.93,29.65,55.83,1023.98,21.7,75.2,7.95,-19.37,1.67,0.67
20200522-093224,INFO,41,44.01,29.63,55.26,1024.01,21.7,74.4,7.93,-19.14,1.81,0.59
20200522-093304,INFO,42,43.47,29.65,55.52,1024.0,21.7,74.5,7.95,-18.98,1.74,0.63
20200522-093344,INFO,43,44.01,29.65,55.74,1023.98,21.7,74.6,7.95,-18.86,1.81,0.62
20200522-093423,INFO,44,44.01,29.8,55.41,1023.99,21.8,74.7,8.0,-19.29,1.78,0.59
20200522-093503,INFO,45,44.01,29.76,54.62,1024.02,21.7,74.7,8.06,-20.08,1.77,0.53
20200522-093543,INFO,46,44.01,29.67,54.85,1024.02,21.8,74.9,7.87,-20.05,1.82,0.54
20200522-093622,INFO,47,44.01,29.62,54.72,1024.03,21.8,75.1,7.82,-20.38,1.84,0.53
20200522-093702,INFO,48,43.47,29.65,55.85,1024.07,21.8,75.3,7.85,-19.45,1.76,0.64
20200522-093742,INFO,49,44.01,29.63,55.73,1024.07,21.8,75.0,7.83,-19.27,1.84,0.61
20200522-093821,INFO,50,43.47,29.54,55.67,1024.08,21.8,75.1,7.74,-19.43,1.8,0.63
20200522-093901,INFO,51,44.01,29.63,54.84,1024.05,21.8,75.0,7.83,-20.16,1.84,0.54
20200522-093941,INFO,52,44.01,29.51,55.75,1024.09,21.8,75.0,7.71,-19.25,1.88,0.61
20200522-094020,INFO,53,44.01,29.54,56.02,1024.09,21.8,75.7,7.74,-19.68,1.87,0.61
20200522-094100,INFO,54,44.01,29.62,56.02,1024.1,21.9,75.9,7.72,-19.88,1.86,0.6
20200522-094140,INFO,55,44.01,29.54,56.19,1024.13,21.9,75.5,7.64,-19.31,1.89,0.63
