20200530-090004,INFO,____Sample,__CPU_Temp,_senseTemp,_sensHumid,_sensePres,__DHT_Temp,_DHT_Humid, _temp_diff, __hum_diff, temp_factor, hum_factor
20200530-090045,INFO,1,37.55,25.71,66.57,1018.26,23.3,65.8,2.41,0.77,4.91,-37.69
20200530-090124,INFO,2,39.17,25.97,65.76,1018.15,23.3,66.4,2.67,-0.64,4.94,41.55
20200530-090204,INFO,3,38.63,26.08,65.18,1018.11,23.2,66.4,2.88,-1.22,4.36,21.76
20200530-090244,INFO,4,39.7,26.37,64.42,1018.07,23.3,66.4,3.07,-1.98,4.34,12.48
20200530-090323,INFO,5,39.7,26.57,64.45,1018.09,23.3,66.4,3.27,-1.95,4.02,12.69
20200530-090403,INFO,6,39.7,26.75,64.07,1018.11,23.2,66.6,3.55,-2.53,3.65,9.63
20200530-090522,INFO,7,40.24,27.33,62.13,1018.22,23.2,66.9,4.13,-4.77,3.13,4.59
20200530-090602,INFO,8,40.78,27.51,61.67,1018.19,23.2,67.0,4.31,-5.33,3.08,3.92
20200530-090642,INFO,9,40.78,27.73,61.33,1018.23,23.3,67.2,4.43,-5.87,2.95,3.5
20200530-090721,INFO,10,40.78,27.69,61.17,1018.22,23.3,67.1,4.39,-5.93,2.98,3.44
20200530-090801,INFO,11,41.32,28.07,61.34,1018.19,23.4,67.5,4.67,-6.16,2.84,3.25
20200530-090841,INFO,12,40.78,27.91,60.46,1018.21,23.4,67.2,4.51,-6.74,2.85,2.92
20200530-091000,INFO,13,41.86,27.91,60.22,1018.21,23.3,67.5,4.61,-7.28,3.03,2.52
20200530-091040,INFO,14,41.32,28.05,60.22,1018.23,23.3,67.7,4.75,-7.48,2.79,2.53
20200530-091119,INFO,15,41.32,28.27,59.77,1018.2,23.3,67.7,4.97,-7.93,2.63,2.33
20200530-091159,INFO,16,41.32,28.16,59.22,1018.16,23.3,67.8,4.86,-8.58,2.71,2.09
20200530-091318,INFO,17,41.86,28.07,59.23,1018.2,23.2,67.7,4.87,-8.47,2.83,2.05
20200530-091358,INFO,18,41.86,28.14,59.41,1018.2,23.3,67.7,4.84,-8.29,2.83,2.12
20200530-091437,INFO,19,41.86,28.45,59.06,1018.19,23.3,67.6,5.15,-8.54,2.6,2.01
20200530-091517,INFO,20,41.86,28.36,58.88,1018.18,23.3,67.5,5.06,-8.62,2.67,1.97
20200530-091557,INFO,21,41.86,28.2,59.14,1018.17,23.3,67.5,4.9,-8.36,2.79,2.07
20200530-091636,INFO,22,41.32,28.16,59.02,1018.18,23.3,68.0,4.86,-8.98,2.71,1.97
20200530-091716,INFO,23,41.86,28.05,58.59,1018.23,23.3,67.9,4.75,-9.31,2.91,1.8
20200530-091756,INFO,24,41.86,28.22,59.59,1018.28,23.2,68.0,5.02,-8.41,2.72,2.11
20200530-091835,INFO,25,41.86,28.47,59.2,1018.25,23.3,67.9,5.17,-8.7,2.59,1.99
20200530-091915,INFO,26,41.86,28.58,58.75,1018.21,23.3,68.0,5.28,-9.25,2.52,1.83
20200530-091955,INFO,27,41.86,28.6,59.58,1018.26,23.3,68.0,5.3,-8.42,2.5,2.1
20200530-092114,INFO,28,41.86,28.87,57.97,1018.23,23.2,68.3,5.67,-10.33,2.29,1.56
20200530-092154,INFO,29,42.93,28.8,57.95,1018.22,23.2,68.5,5.6,-10.55,2.52,1.42
20200530-092233,INFO,30,42.39,28.96,57.81,1018.26,23.2,68.7,5.76,-10.89,2.33,1.42
20200530-092313,INFO,31,41.86,28.76,58.65,1018.25,23.2,68.9,5.56,-10.25,2.36,1.64
20200530-092353,INFO,32,42.39,28.58,58.2,1018.2,23.2,68.9,5.38,-10.7,2.57,1.48
20200530-092432,INFO,33,41.86,28.67,58.85,1018.22,23.3,69.0,5.37,-10.15,2.46,1.67
20200530-092512,INFO,34,42.39,28.58,58.89,1018.22,23.3,69.0,5.28,-10.11,2.62,1.63
20200530-092552,INFO,35,42.93,28.53,59.02,1018.22,23.2,69.0,5.33,-9.98,2.7,1.61
20200530-092711,INFO,36,42.93,28.85,59.02,1018.24,23.3,69.1,5.55,-10.08,2.54,1.6
20200530-092751,INFO,37,42.93,28.76,57.31,1018.2,23.3,69.2,5.46,-11.89,2.6,1.21
20200530-092830,INFO,38,42.39,28.87,58.48,1018.26,23.3,69.2,5.57,-10.72,2.43,1.5
20200530-092910,INFO,39,41.86,28.89,58.34,1018.26,23.3,69.2,5.59,-10.86,2.32,1.52
20200530-092950,INFO,40,42.93,28.71,58.05,1018.2,23.3,69.0,5.41,-10.95,2.63,1.38
20200530-093029,INFO,41,42.39,28.62,57.78,1018.21,23.2,69.1,5.42,-11.32,2.54,1.36
20200530-093109,INFO,42,42.93,28.69,58.77,1018.25,23.3,69.1,5.39,-10.33,2.64,1.53
20200530-093149,INFO,43,42.39,28.94,58.09,1018.24,23.3,69.1,5.64,-11.01,2.38,1.43
20200530-093228,INFO,44,42.39,28.83,58.27,1018.21,23.2,69.0,5.63,-10.73,2.41,1.48
20200530-093308,INFO,45,42.39,28.93,57.97,1018.26,23.3,69.1,5.63,-11.13,2.39,1.4
20200530-093348,INFO,46,42.93,29.03,58.11,1018.26,23.3,69.0,5.73,-10.89,2.43,1.39
20200530-093427,INFO,47,42.93,28.83,57.9,1018.22,23.3,69.1,5.53,-11.2,2.55,1.34
20200530-093507,INFO,48,42.93,28.67,58.61,1018.2,23.3,69.0,5.37,-10.39,2.66,1.51
20200530-093547,INFO,49,42.93,28.69,58.28,1018.24,23.3,68.9,5.39,-10.62,2.64,1.45
20200530-093626,INFO,50,42.39,28.93,58.15,1018.25,23.2,68.9,5.73,-10.75,2.35,1.47
20200530-093706,INFO,51,42.93,29.07,57.9,1018.27,23.3,69.1,5.77,-11.2,2.4,1.34
20200530-093746,INFO,52,42.93,29.11,57.33,1018.26,23.3,69.1,5.81,-11.77,2.38,1.22
20200530-093825,INFO,53,42.93,29.23,57.36,1018.23,23.3,69.1,5.93,-11.74,2.31,1.23
20200530-093905,INFO,54,42.93,29.12,56.69,1018.26,23.3,69.0,5.82,-12.31,2.37,1.12
20200530-093945,INFO,55,41.86,29.05,57.87,1018.23,23.3,68.8,5.75,-10.93,2.23,1.46
20200530-094024,INFO,56,42.93,29.09,58.58,1018.23,23.2,68.8,5.89,-10.22,2.35,1.53
