20200521-205248,INFO,____Sample,__CPU_Temp,_senseTemp,_sensHumid,_sensePres,__DHT_Temp,_DHT_Humid, _temp_diff, __hum_diff, temp_factor, hum_factor
20200521-224140,INFO,203,45.08,31.38,56.19,1021.98,25.2,70.0,6.18,-13.81,2.22,0.8
20200521-224220,INFO,204,45.08,31.5,56.08,1022.02,25.2,69.9,6.3,-13.82,2.16,0.8
20200521-224259,INFO,205,45.62,31.47,56.85,1021.99,25.2,69.8,6.27,-12.95,2.26,0.87
20200521-224339,INFO,206,45.62,31.29,55.11,1022.01,25.2,69.8,6.09,-14.69,2.35,0.65
20200521-224419,INFO,207,45.62,31.36,56.12,1022.03,25.2,69.8,6.16,-13.68,2.31,0.77
20200521-224458,INFO,208,45.62,31.32,56.19,1022.08,25.2,69.7,6.12,-13.51,2.34,0.78
20200521-224538,INFO,209,45.08,31.39,56.18,1022.09,25.2,69.7,6.19,-13.52,2.21,0.82
20200521-224618,INFO,210,45.08,31.39,56.11,1022.1,25.2,69.8,6.19,-13.69,2.21,0.81
20200521-224657,INFO,211,45.62,31.32,56.38,1022.1,25.2,69.8,6.12,-13.42,2.34,0.8
20200521-224737,INFO,212,45.08,31.36,56.14,1022.13,25.2,69.8,6.16,-13.66,2.23,0.81
20200521-224817,INFO,213,45.08,31.39,56.37,1022.14,25.2,69.8,6.19,-13.43,2.21,0.84
20200521-224856,INFO,214,45.08,31.36,56.38,1022.11,25.1,69.8,6.26,-13.42,2.19,0.84
20200521-224936,INFO,215,45.08,31.38,56.01,1022.16,25.2,69.8,6.18,-13.79,2.22,0.79
20200521-225016,INFO,216,45.08,31.27,56.49,1022.14,25.2,69.8,6.07,-13.31,2.28,0.86
20200521-225055,INFO,217,45.62,31.3,56.38,1022.17,25.2,69.8,6.1,-13.42,2.35,0.8
20200521-225135,INFO,218,45.08,31.39,56.57,1022.18,25.2,69.8,6.19,-13.23,2.21,0.87
20200521-225215,INFO,219,45.62,31.45,56.17,1022.21,25.2,69.8,6.25,-13.63,2.27,0.77
20200521-225254,INFO,220,45.62,31.27,55.98,1022.19,25.2,69.8,6.07,-13.82,2.36,0.75
20200521-225334,INFO,221,45.08,31.39,55.85,1022.22,25.2,69.9,6.19,-14.05,2.21,0.77
20200521-225414,INFO,222,45.08,31.5,55.93,1022.19,25.2,69.8,6.3,-13.87,2.16,0.78
20200521-225453,INFO,223,45.08,31.56,55.99,1022.24,25.2,69.8,6.36,-13.81,2.13,0.79
20200521-225533,INFO,224,45.08,31.65,55.05,1022.22,25.2,69.8,6.45,-14.75,2.08,0.68
20200521-225613,INFO,225,46.16,32.03,55.32,1022.27,25.2,69.8,6.83,-14.48,2.07,0.63
20200521-225652,INFO,226,45.62,31.94,54.91,1022.26,25.2,69.8,6.74,-14.89,2.03,0.62
20200521-225812,INFO,227,45.08,31.39,55.86,1022.3,25.2,70.2,6.19,-14.34,2.21,0.75
20200521-225851,INFO,228,45.08,31.67,55.02,1022.3,25.2,70.2,6.47,-15.18,2.07,0.65
20200521-225931,INFO,229,45.62,31.88,55.56,1022.29,25.2,69.8,6.68,-14.24,2.06,0.7
20200521-230011,INFO,230,45.62,31.83,55.35,1022.3,25.2,69.8,6.63,-14.45,2.08,0.67
20200521-230050,INFO,231,45.62,31.74,54.9,1022.33,25.2,69.9,6.54,-15.0,2.12,0.62
20200521-230130,INFO,232,45.08,31.67,55.66,1022.32,25.1,69.8,6.57,-14.14,2.04,0.75
20200521-230210,INFO,233,45.08,31.79,55.64,1022.36,25.1,70.0,6.69,-14.36,1.99,0.74
20200521-230249,INFO,234,45.62,31.85,55.32,1022.32,25.1,70.1,6.75,-14.78,2.04,0.66
20200521-230329,INFO,235,45.62,31.9,54.99,1022.34,25.1,70.1,6.8,-15.11,2.02,0.62
20200521-230409,INFO,236,45.62,31.85,55.82,1022.33,25.1,70.2,6.75,-14.38,2.04,0.71
20200521-230448,INFO,237,45.08,31.88,55.13,1022.33,25.1,70.2,6.78,-15.07,1.95,0.67
20200521-230528,INFO,238,45.08,31.88,54.98,1022.33,25.1,70.3,6.78,-15.32,1.95,0.65
20200521-230607,INFO,239,45.62,31.76,54.93,1022.36,25.1,70.3,6.66,-15.37,2.08,0.61
20200521-230806,INFO,240,45.62,31.9,55.17,1022.39,25.1,70.3,6.8,-15.13,2.02,0.63
20200521-230846,INFO,241,46.16,31.88,54.99,1022.4,25.1,70.3,6.78,-15.31,2.11,0.58
20200521-230926,INFO,242,45.62,31.81,54.67,1022.4,25.1,70.3,6.71,-15.63,2.06,0.58
20200521-231005,INFO,243,45.08,31.72,56.11,1022.39,25.1,70.3,6.62,-14.19,2.02,0.78
20200521-231045,INFO,244,45.62,31.79,55.29,1022.39,25.1,70.4,6.69,-15.11,2.07,0.64
