20200528-100449,INFO,____Sample,__CPU_Temp,_senseTemp,_sensHumid,_sensePres,__DHT_Temp,_DHT_Humid, _temp_diff, __hum_diff, temp_factor, hum_factor
20200528-100529,INFO,1,38.63,25.73,67.84,1027.17,23.0,69.4,2.73,-1.56,4.73,18.72
20200528-100648,INFO,2,39.17,26.31,66.65,1027.18,22.9,69.9,3.41,-3.25,3.77,8.46
20200528-100728,INFO,3,39.7,26.49,66.06,1027.15,23.0,70.5,3.49,-4.44,3.79,5.94
20200528-100808,INFO,4,40.24,26.58,65.62,1027.16,23.0,70.4,3.58,-4.78,3.82,5.31
20200528-100927,INFO,5,40.24,27.09,64.46,1027.32,23.0,71.1,4.09,-6.64,3.22,3.65
20200528-101046,INFO,6,39.7,27.0,64.01,1027.31,23.1,70.5,3.9,-6.49,3.26,3.75
20200528-101126,INFO,7,40.78,27.4,64.41,1027.34,23.1,70.0,4.3,-5.59,3.11,4.23
20200528-101325,INFO,8,41.32,27.84,61.92,1027.28,23.2,70.6,4.64,-8.68,2.91,2.37
20200528-101444,INFO,9,41.32,27.89,61.73,1027.23,23.2,70.2,4.69,-8.47,2.86,2.41
20200528-101524,INFO,10,40.78,27.73,62.06,1027.27,23.3,69.8,4.43,-7.74,2.95,2.75
20200528-101604,INFO,11,41.32,27.82,62.21,1027.22,23.4,70.0,4.42,-7.79,3.05,2.68
20200528-101643,INFO,12,41.86,27.85,61.61,1027.21,23.3,69.3,4.55,-7.69,3.08,2.57
20200528-101723,INFO,13,41.86,27.93,61.72,1027.23,23.2,69.9,4.73,-8.18,2.95,2.43
20200528-101803,INFO,14,41.86,28.18,61.06,1027.21,23.2,70.6,4.98,-9.54,2.75,2.01
20200528-101842,INFO,15,41.86,28.22,60.83,1027.21,23.2,70.5,5.02,-9.67,2.72,1.96
20200528-101922,INFO,16,41.86,28.09,60.8,1027.2,23.2,70.1,4.89,-9.3,2.82,2.04
20200528-102002,INFO,17,41.86,28.45,60.76,1027.22,23.2,70.4,5.25,-9.64,2.55,1.96
20200528-102041,INFO,18,41.86,28.27,60.2,1027.2,23.3,70.7,4.97,-10.5,2.73,1.75
20200528-102121,INFO,19,41.86,28.56,60.37,1027.23,23.3,70.0,5.26,-9.63,2.53,1.92
20200528-102201,INFO,20,41.86,28.45,59.85,1027.2,23.4,69.8,5.05,-9.95,2.66,1.81
20200528-102240,INFO,21,42.39,28.58,59.74,1027.23,23.4,69.4,5.18,-9.66,2.67,1.8
20200528-102320,INFO,22,41.86,28.56,59.53,1027.15,23.5,69.3,5.06,-9.77,2.63,1.81
20200528-102400,INFO,23,42.39,28.63,59.93,1027.16,23.5,69.1,5.13,-9.17,2.68,1.91
20200528-102439,INFO,24,42.39,28.69,59.7,1027.07,23.6,68.9,5.09,-9.2,2.69,1.88
20200528-102519,INFO,25,42.93,28.74,59.39,1027.17,23.7,68.7,5.04,-9.31,2.82,1.77
20200528-102559,INFO,26,42.93,28.8,59.51,1027.2,23.7,68.4,5.1,-8.89,2.77,1.87
20200528-102718,INFO,27,42.93,28.82,59.41,1027.1,23.8,68.3,5.02,-8.89,2.81,1.85
20200528-102757,INFO,28,42.39,28.85,59.11,1027.11,23.8,68.0,5.05,-8.89,2.68,1.88
20200528-102837,INFO,29,42.93,28.91,59.37,1027.03,23.8,68.3,5.11,-8.93,2.74,1.84
20200528-102917,INFO,30,42.93,29.05,59.02,1027.03,23.9,68.2,5.15,-9.18,2.7,1.75
20200528-102956,INFO,31,42.93,29.2,58.99,1027.03,23.9,68.1,5.3,-9.11,2.59,1.76
20200528-103036,INFO,32,42.93,29.27,58.84,1027.06,24.0,68.4,5.27,-9.56,2.59,1.66
20200528-103116,INFO,33,43.47,29.31,58.85,1027.04,24.0,68.2,5.31,-9.35,2.67,1.64
20200528-103155,INFO,34,42.93,29.23,58.66,1027.05,24.0,68.2,5.23,-9.54,2.62,1.65
20200528-103235,INFO,35,43.47,29.27,59.0,1027.01,24.1,68.1,5.17,-9.1,2.75,1.71
20200528-103354,INFO,36,43.47,29.45,57.97,1027.07,24.1,67.7,5.35,-9.73,2.62,1.49
20200528-103434,INFO,37,43.47,29.62,57.75,1027.01,24.1,67.8,5.52,-10.05,2.51,1.42
20200528-103514,INFO,38,43.47,29.8,57.6,1026.98,24.1,67.5,5.7,-9.9,2.4,1.43
20200528-103553,INFO,39,43.47,29.76,57.34,1027.01,24.1,67.7,5.66,-10.36,2.42,1.34
20200528-103633,INFO,40,44.01,30.09,57.13,1026.99,24.2,67.9,5.89,-10.77,2.36,1.22
20200528-103713,INFO,41,44.01,29.85,56.93,1027.01,24.1,67.9,5.75,-10.97,2.46,1.18
20200528-103832,INFO,42,44.01,30.09,56.41,1026.98,24.2,67.6,5.89,-11.19,2.36,1.11
20200528-103912,INFO,43,44.55,30.29,56.52,1026.99,24.2,67.5,6.09,-10.98,2.34,1.09
20200528-103951,INFO,44,44.01,30.38,55.77,1026.97,24.2,67.6,6.18,-11.83,2.21,0.99
20200528-104031,INFO,45,44.01,30.56,56.03,1026.99,24.2,67.6,6.36,-11.57,2.11,1.04
20200528-104111,INFO,46,43.47,30.52,55.81,1026.98,24.2,67.5,6.32,-11.69,2.05,1.06
20200528-104150,INFO,47,44.01,30.58,55.7,1027.01,24.2,67.6,6.38,-11.9,2.11,0.98
20200528-104310,INFO,48,44.01,30.6,55.55,1027.01,24.2,67.8,6.4,-12.25,2.1,0.94
20200528-104349,INFO,49,44.01,30.6,55.37,1026.92,24.2,67.5,6.4,-12.13,2.1,0.94
20200528-104429,INFO,50,44.01,30.65,54.96,1026.97,24.3,67.4,6.35,-12.44,2.1,0.88
20200528-104509,INFO,51,44.01,30.96,54.63,1026.92,24.3,67.4,6.66,-12.77,1.96,0.83
20200528-104548,INFO,52,44.01,30.9,54.76,1026.96,24.3,67.5,6.6,-12.74,1.99,0.84
20200528-104628,INFO,53,44.01,30.96,54.75,1026.93,24.3,67.5,6.66,-12.75,1.96,0.84
20200528-104708,INFO,54,44.55,30.8,55.04,1026.94,24.3,67.6,6.5,-12.56,2.12,0.84
20200528-104747,INFO,55,45.08,30.96,54.82,1026.94,24.3,67.6,6.66,-12.78,2.12,0.76
20200528-104827,INFO,56,44.01,31.07,55.91,1026.9,24.3,67.7,6.77,-11.79,1.91,1.01
20200528-104907,INFO,57,44.01,30.99,54.67,1026.97,24.3,67.8,6.69,-13.13,1.95,0.81
20200528-104946,INFO,58,45.08,30.8,54.22,1026.93,24.3,67.8,6.5,-13.58,2.2,0.67
20200528-105026,INFO,59,44.55,30.69,55.18,1026.94,24.3,67.7,6.39,-12.52,2.17,0.85
20200528-105106,INFO,60,44.01,30.63,54.76,1026.94,24.3,67.4,6.33,-12.64,2.11,0.85
20200528-105145,INFO,61,44.55,30.5,55.46,1026.92,24.3,67.2,6.2,-11.74,2.27,0.93
20200528-105225,INFO,62,44.01,30.36,55.21,1026.91,24.4,67.2,5.96,-11.99,2.29,0.93
20200528-105344,INFO,63,44.01,30.14,56.01,1026.91,24.4,66.9,5.74,-10.89,2.42,1.1
20200528-105424,INFO,64,44.01,30.2,56.97,1026.9,24.4,66.8,5.8,-9.83,2.38,1.32
20200528-105504,INFO,65,44.55,30.03,56.39,1026.92,24.4,66.8,5.63,-10.41,2.58,1.14
20200528-105543,INFO,66,44.01,30.18,56.32,1026.91,24.5,66.8,5.68,-10.48,2.43,1.17
20200528-105623,INFO,67,44.55,30.09,56.48,1026.92,24.5,66.7,5.59,-10.22,2.59,1.17
20200528-105703,INFO,68,44.01,29.98,56.48,1026.91,24.5,66.8,5.48,-10.32,2.56,1.21
20200528-105822,INFO,69,44.55,30.0,56.57,1026.89,24.5,66.6,5.5,-10.03,2.65,1.2
20200528-105902,INFO,70,44.55,30.14,56.3,1026.9,24.5,66.5,5.64,-10.2,2.55,1.15
20200528-105941,INFO,71,44.01,30.07,56.72,1026.91,24.6,66.6,5.47,-9.88,2.55,1.29
20200528-110021,INFO,72,44.55,30.27,56.35,1026.92,24.6,66.5,5.67,-10.15,2.52,1.16
20200528-110100,INFO,73,44.01,30.16,56.2,1026.92,24.5,66.4,5.66,-10.2,2.45,1.2
20200528-110140,INFO,74,44.55,30.11,56.23,1026.91,24.6,66.4,5.51,-10.17,2.62,1.15
20200528-110220,INFO,75,44.55,30.14,56.17,1026.94,24.6,66.4,5.54,-10.23,2.6,1.14
20200528-110259,INFO,76,44.01,30.21,55.81,1026.89,24.6,66.3,5.61,-10.49,2.46,1.12
20200528-110339,INFO,77,44.55,30.18,56.35,1026.91,24.6,66.4,5.58,-10.05,2.58,1.17
20200528-110419,INFO,78,44.01,30.21,56.14,1026.93,24.6,66.4,5.61,-10.26,2.46,1.18
20200528-110458,INFO,79,44.01,30.25,56.43,1026.93,24.6,66.2,5.65,-9.77,2.44,1.27
20200528-110538,INFO,80,45.08,30.16,56.11,1026.93,24.6,66.4,5.56,-10.29,2.68,1.07
20200528-110618,INFO,81,44.01,30.34,56.73,1026.94,24.6,66.3,5.74,-9.57,2.38,1.33
20200528-110657,INFO,82,44.55,30.29,56.17,1026.91,24.6,66.3,5.69,-10.13,2.51,1.15
20200528-110737,INFO,83,44.55,30.34,56.12,1026.93,24.6,66.3,5.74,-10.18,2.48,1.14
20200528-110817,INFO,84,44.55,30.32,55.77,1026.93,24.7,66.2,5.62,-10.43,2.53,1.08
20200528-110856,INFO,85,45.08,30.41,55.75,1026.95,24.6,66.1,5.81,-10.35,2.52,1.03
20200528-110936,INFO,86,44.01,30.52,55.63,1026.91,24.6,66.1,5.92,-10.47,2.28,1.11
20200528-111016,INFO,87,45.08,30.4,55.22,1026.93,24.6,66.2,5.8,-10.98,2.53,0.92
20200528-111055,INFO,88,44.55,30.56,55.66,1026.94,24.7,66.3,5.86,-10.64,2.39,1.04
20200528-111135,INFO,89,45.08,30.41,55.87,1026.92,24.7,66.1,5.71,-10.23,2.57,1.05
20200528-111215,INFO,90,45.08,30.34,55.81,1026.94,24.7,66.3,5.64,-10.49,2.61,1.02
20200528-111254,INFO,91,44.55,30.52,56.07,1026.95,24.7,66.2,5.82,-10.13,2.41,1.14
20200528-111334,INFO,92,45.08,30.47,55.88,1026.92,24.7,66.1,5.77,-10.22,2.53,1.06
20200528-111414,INFO,93,44.55,30.45,54.15,1026.93,24.7,66.1,5.75,-11.95,2.45,0.8
20200528-111453,INFO,94,45.08,30.67,55.71,1026.95,24.7,66.2,5.97,-10.49,2.41,1.01
20200528-111613,INFO,95,45.08,30.34,55.87,1026.86,24.7,66.2,5.64,-10.33,2.61,1.04
20200528-111652,INFO,96,45.08,30.49,55.65,1026.91,24.7,66.4,5.79,-10.75,2.52,0.98
20200528-111732,INFO,97,45.08,30.49,55.73,1026.9,24.7,66.2,5.79,-10.47,2.52,1.02
20200528-111812,INFO,98,45.08,30.47,55.66,1026.9,24.8,66.3,5.67,-10.64,2.58,0.99
20200528-111851,INFO,99,45.08,30.38,54.74,1026.88,24.7,66.1,5.68,-11.36,2.59,0.85
20200528-111931,INFO,100,44.55,30.5,55.5,1026.88,24.7,66.1,5.8,-10.6,2.42,1.03
20200528-112011,INFO,101,44.55,30.67,55.57,1026.91,24.8,66.1,5.87,-10.53,2.36,1.05
20200528-112130,INFO,102,45.08,30.76,55.46,1026.88,24.8,66.0,5.96,-10.54,2.4,0.98
20200528-112210,INFO,103,44.01,30.7,55.07,1026.88,24.8,66.0,5.9,-10.93,2.26,1.01
20200528-112329,INFO,104,45.08,30.76,54.99,1026.87,24.8,65.9,5.96,-10.91,2.4,0.91
20200528-112409,INFO,105,45.08,31.05,53.83,1026.88,24.8,66.0,6.25,-12.17,2.24,0.72
20200528-112448,INFO,106,45.08,31.07,54.15,1026.87,24.8,66.1,6.27,-11.95,2.23,0.76
20200528-112608,INFO,107,45.08,31.25,54.47,1026.85,24.8,66.2,6.45,-11.73,2.14,0.8
20200528-112647,INFO,108,45.08,31.27,53.76,1026.85,24.7,66.2,6.57,-12.44,2.1,0.7
20200528-112727,INFO,109,44.55,31.14,54.34,1026.84,24.7,66.3,6.44,-11.96,2.08,0.82
