20200525-095548,INFO,____Sample,__CPU_Temp,_senseTemp,_sensHumid,_sensePres,__DHT_Temp,_DHT_Humid, _temp_diff, __hum_diff, temp_factor, hum_factor
20200525-095548,INFO,1,42.39,28.6,66.66,1028.97,24.9,72.6,3.70,-5.94,3.73,4.09
20200525-095628,INFO,2,42.39,28.8,66.52,1029.02,24.8,73.1,4.00,-6.58,3.40,3.67
20200525-095707,INFO,3,42.93,28.8,66.32,1029.03,24.9,72.9,3.90,-6.58,3.62,3.55
20200525-095827,INFO,4,42.93,28.85,65.8,1029.04,24.9,73.0,3.95,-7.20,3.56,3.18
20200525-095906,INFO,5,42.93,29.0,65.6,1029.04,24.9,73.1,4.10,-7.50,3.40,3.02
20200525-095946,INFO,6,42.93,29.11,64.58,1029.02,24.9,72.9,4.21,-8.32,3.28,2.60
20200525-100026,INFO,7,42.93,29.16,64.94,1029.06,24.9,73.0,4.26,-8.06,3.23,2.73
20200525-100105,INFO,8,43.47,29.18,64.92,1029.03,24.9,72.9,4.28,-7.98,3.34,2.69
20200525-100145,INFO,9,42.93,29.11,64.53,1029.05,24.9,72.8,4.21,-8.27,3.28,2.61
20200525-100225,INFO,10,42.93,29.18,64.48,1029.01,24.9,72.8,4.28,-8.32,3.21,2.59
20200525-100304,INFO,11,42.93,29.27,64.49,1028.98,25.0,72.9,4.27,-8.41,3.20,2.56
20200525-100344,INFO,12,42.93,29.29,64.49,1028.92,24.9,72.6,4.39,-8.11,3.11,2.66
20200525-100424,INFO,13,44.01,29.42,63.99,1028.92,25.0,72.7,4.42,-8.71,3.30,2.29
20200525-100503,INFO,14,43.47,29.31,64.8,1028.83,25.0,72.7,4.31,-7.90,3.29,2.70
20200525-100543,INFO,15,43.47,29.38,64.2,1028.83,25.0,72.5,4.38,-8.30,3.22,2.50
20200525-100702,INFO,16,44.01,29.36,63.65,1028.84,25.0,72.7,4.36,-9.05,3.36,2.17
20200525-100742,INFO,17,43.47,29.45,63.73,1028.82,25.0,72.4,4.45,-8.67,3.15,2.34
20200525-100901,INFO,18,43.47,29.52,63.3,1028.78,25.1,72.4,4.42,-9.10,3.16,2.18
20200525-101021,INFO,19,44.01,29.56,63.14,1028.79,25.1,72.1,4.46,-8.96,3.24,2.14
20200525-101100,INFO,20,44.01,29.56,63.0,1028.75,25.1,72.2,4.46,-9.20,3.24,2.06
20200525-101140,INFO,21,43.47,29.67,63.2,1028.76,25.1,72.1,4.57,-8.90,3.02,2.22
20200525-101220,INFO,22,44.01,29.6,62.33,1028.73,25.1,72.1,4.50,-9.77,3.20,1.88
20200525-101259,INFO,23,44.01,29.58,62.76,1028.76,25.1,72.0,4.48,-9.24,3.22,2.03
20200525-101339,INFO,24,43.47,29.76,63.0,1028.76,25.1,72.1,4.66,-9.10,2.94,2.15
20200525-101418,INFO,25,44.01,29.69,62.78,1028.73,25.2,72.0,4.49,-9.22,3.19,2.04
20200525-101458,INFO,26,44.01,29.78,61.96,1028.75,25.2,72.1,4.58,-10.14,3.11,1.77
20200525-101538,INFO,27,43.47,29.83,62.66,1028.73,25.1,72.0,4.73,-9.34,2.88,2.05
20200525-101617,INFO,28,44.01,29.81,62.74,1028.7,25.2,72.0,4.61,-9.26,3.08,2.02
20200525-101657,INFO,29,44.01,29.91,62.75,1028.74,25.2,72.0,4.71,-9.25,2.99,2.03
20200525-101737,INFO,30,44.01,29.91,62.8,1028.81,25.2,72.2,4.71,-9.40,2.99,2.00
20200525-101816,INFO,31,44.01,29.98,62.28,1028.79,25.2,72.0,4.78,-9.72,2.94,1.88
20200525-101856,INFO,32,44.01,29.83,62.6,1028.83,25.2,72.0,4.63,-9.40,3.06,1.98
20200525-101936,INFO,33,44.01,29.83,63.22,1028.78,25.2,72.1,4.63,-8.88,3.06,2.16
20200525-102015,INFO,34,44.01,29.94,62.6,1028.82,25.2,72.0,4.74,-9.40,2.97,1.98
20200525-102055,INFO,35,44.55,29.83,62.43,1028.85,25.2,72.0,4.63,-9.57,3.18,1.87
20200525-102135,INFO,36,45.08,29.85,62.49,1028.87,25.2,72.0,4.65,-9.51,3.28,1.83
20200525-102214,INFO,37,44.01,29.83,62.26,1028.84,25.2,72.0,4.63,-9.74,3.06,1.87
20200525-102254,INFO,38,45.08,29.89,62.4,1028.84,25.3,72.1,4.59,-9.70,3.31,1.79
20200525-102334,INFO,39,44.55,29.85,62.43,1028.84,25.2,71.9,4.65,-9.47,3.16,1.89
20200525-102413,INFO,40,44.01,29.98,62.52,1028.85,25.3,71.9,4.68,-9.38,3.00,1.97
20200525-102453,INFO,41,44.55,30.03,61.54,1028.84,25.2,71.9,4.83,-10.36,3.01,1.64
20200525-102533,INFO,42,44.01,29.96,61.55,1028.88,25.2,71.9,4.76,-10.35,2.95,1.69
20200525-102612,INFO,43,44.55,30.01,61.98,1028.85,25.3,71.9,4.71,-9.92,3.09,1.76
20200525-102652,INFO,44,44.01,30.16,61.33,1028.81,25.3,71.8,4.86,-10.47,2.85,1.65
20200525-102732,INFO,45,44.55,30.16,62.04,1028.87,25.3,71.9,4.86,-9.86,2.96,1.77
20200525-102851,INFO,46,44.01,30.03,61.46,1028.89,25.3,71.9,4.73,-10.44,2.96,1.67
20200525-103130,INFO,47,45.08,30.18,61.87,1028.92,25.3,71.7,4.88,-9.83,3.05,1.71
20200525-103249,INFO,48,44.01,30.05,61.91,1028.91,25.3,71.5,4.75,-9.59,2.94,1.87
20200525-103329,INFO,49,44.55,30.05,61.84,1028.9,25.3,71.8,4.75,-9.96,3.05,1.74
20200525-103408,INFO,50,44.55,30.11,61.89,1028.9,25.3,71.7,4.81,-9.81,3.00,1.77
20200525-103528,INFO,51,44.55,30.11,61.7,1028.88,25.3,71.7,4.81,-10.00,3.00,1.72
20200525-103607,INFO,52,44.55,30.14,61.76,1028.86,25.3,71.7,4.84,-9.94,2.98,1.73
