20200529-090005,INFO,____Sample,__CPU_Temp,_senseTemp,_sensHumid,_sensePres,__DHT_Temp,_DHT_Humid, _temp_diff, __hum_diff, temp_factor, hum_factor
20200529-090045,INFO,1,38.63,25.82,69.19,1019.12,23.0,68.5,2.82,0.69,4.54,-44.29
20200529-090244,INFO,2,39.7,26.29,65.99,1018.97,22.9,70.1,3.39,-4.11,3.96,6.4
20200529-090324,INFO,3,39.7,26.53,65.9,1018.93,22.9,70.3,3.63,-4.4,3.63,5.95
20200529-090403,INFO,4,39.7,26.62,65.53,1018.92,22.9,70.5,3.72,-4.97,3.52,5.2
20200529-090443,INFO,5,40.24,26.69,65.01,1018.91,22.9,70.6,3.79,-5.59,3.58,4.43
20200529-090523,INFO,6,39.7,26.8,64.86,1019.1,22.9,71.0,3.9,-6.14,3.31,4.1
20200529-090602,INFO,7,40.78,27.09,64.88,1019.08,22.9,71.3,4.19,-6.42,3.27,3.75
20200529-090642,INFO,8,40.78,26.87,64.75,1019.07,22.9,71.8,3.97,-7.05,3.5,3.4
20200529-090722,INFO,9,40.78,27.06,64.64,1019.07,22.8,71.7,4.26,-7.06,3.22,3.38
20200529-090801,INFO,10,40.78,27.22,64.58,1019.05,22.8,71.9,4.42,-7.32,3.07,3.25
20200529-090841,INFO,11,40.78,27.24,64.17,1019.06,22.8,72.1,4.44,-7.93,3.05,2.95
20200529-090921,INFO,12,40.78,27.35,64.36,1019.11,22.8,72.3,4.55,-7.94,2.95,2.97
20200529-091000,INFO,13,40.78,27.35,63.8,1019.12,22.8,72.4,4.55,-8.6,2.95,2.68
20200529-091040,INFO,14,41.32,27.47,63.35,1019.05,22.8,72.5,4.67,-9.15,2.97,2.41
20200529-091119,INFO,15,41.32,27.75,63.43,1019.06,22.8,72.7,4.95,-9.27,2.74,2.39
20200529-091239,INFO,16,41.86,27.64,63.82,1019.03,22.8,72.5,4.84,-8.68,2.94,2.53
20200529-091318,INFO,17,40.78,27.35,62.54,1019.03,22.8,72.2,4.55,-9.66,2.95,2.25
20200529-091358,INFO,18,40.78,27.33,62.1,1019.07,22.8,71.1,4.53,-9.0,2.97,2.37
20200529-091438,INFO,19,41.32,27.33,61.85,1019.01,22.8,69.9,4.53,-8.05,3.09,2.55
20200529-091517,INFO,20,40.78,27.27,62.4,1019.02,22.8,70.0,4.47,-7.6,3.02,2.84
20200529-091557,INFO,21,41.32,27.4,62.22,1019.02,22.8,70.1,4.6,-7.88,3.03,2.65
