20200522-085523,INFO,____Sample,__DHT_Temp,_DHT_Humid
20200522-105437,INFO,151,22.7,77.4
20200522-105506,INFO,152,22.7,77.1
20200522-105604,INFO,153,22.7,77.4
20200522-105633,INFO,154,22.7,77.5
20200522-105702,INFO,155,22.7,77.7
20200522-105731,INFO,156,22.7,77.9
20200522-105800,INFO,157,22.7,78.2
20200522-105858,INFO,158,22.7,78.2
20200522-105927,INFO,159,22.7,78.3
20200522-105956,INFO,160,22.7,78.4
20200522-110025,INFO,161,22.7,78.6
20200522-110054,INFO,162,22.6,78.9
20200522-110123,INFO,163,22.7,79.3
20200522-110152,INFO,164,22.7,79.3
20200522-110221,INFO,165,22.6,79.5
20200522-110251,INFO,166,22.6,79.5
20200522-110320,INFO,167,22.6,79.3
20200522-110349,INFO,168,22.6,79.4
20200522-110418,INFO,169,22.7,80.1
20200522-110447,INFO,170,22.7,79.7
20200522-110516,INFO,171,22.7,79.5
20200522-110545,INFO,172,22.7,79.4
20200522-110614,INFO,173,22.7,79.4
20200522-110643,INFO,174,22.7,79.7
20200522-110712,INFO,175,22.7,79.7
20200522-110741,INFO,176,22.7,80.1
20200522-110810,INFO,177,22.7,80.2
20200522-110839,INFO,178,22.7,80.6
20200522-110908,INFO,179,22.7,80.8
20200522-110937,INFO,180,22.8,81.2
20200522-111035,INFO,181,22.8,80.1
20200522-111105,INFO,182,22.8,80.1
20200522-111134,INFO,183,22.9,80.4
20200522-111203,INFO,184,22.9,80.2
20200522-111232,INFO,185,22.9,79.1
20200522-111301,INFO,186,22.9,78.5
20200522-111359,INFO,187,22.9,79.8
20200522-111428,INFO,188,22.9,78.9
20200522-111526,INFO,189,22.9,78.1
20200522-111555,INFO,190,22.9,79.0
20200522-111624,INFO,191,22.9,80.0
20200522-111653,INFO,192,22.8,80.0
20200522-111722,INFO,193,22.8,80.6
20200522-111751,INFO,194,22.8,81.0
20200522-111849,INFO,195,22.8,81.2
20200522-111919,INFO,196,22.8,81.4
20200522-111948,INFO,197,22.8,81.4
20200522-112017,INFO,198,22.8,81.8
20200522-112046,INFO,199,22.8,82.1
20200522-112115,INFO,200,22.8,81.9
20200522-112144,INFO,201,22.8,81.4
