2020-04-15 08:03:10 - INFO: ___Sample,___Sample,_CPU_Temp,_____Temp,____Press,____Humid
2020-04-15 08:14:59 - INFO: 71,71,30.4,26.22,992.53,42.72
2020-04-15 08:15:09 - INFO: 72,72,29.86,26.24,992.52,43.55
2020-04-15 08:15:19 - INFO: 73,73,30.4,26.18,992.59,42.69
2020-04-15 08:15:29 - INFO: 74,74,30.94,26.22,992.53,42.42
2020-04-15 08:15:39 - INFO: 75,75,30.4,26.29,992.52,42.62
2020-04-15 08:15:49 - INFO: 76,76,30.4,26.22,992.51,42.72
2020-04-15 08:16:00 - INFO: 77,77,30.4,26.17,992.5,42.4
2020-04-15 08:16:10 - INFO: 78,78,30.4,26.29,992.5,42.87
2020-04-15 08:16:20 - INFO: 79,79,30.94,26.2,992.57,42.34
2020-04-15 08:16:30 - INFO: 80,80,30.4,26.18,992.54,43.92
2020-04-15 08:16:40 - INFO: 81,81,29.86,26.26,992.54,42.81
2020-04-15 08:16:50 - INFO: 82,82,30.4,26.17,992.5,42.79
2020-04-15 08:17:00 - INFO: 83,83,30.4,26.15,992.53,43.02
2020-04-15 08:17:10 - INFO: 84,84,30.4,26.15,992.51,42.3
2020-04-15 08:17:21 - INFO: 85,85,29.86,26.22,992.53,42.32
2020-04-15 08:17:31 - INFO: 86,86,30.4,26.24,992.52,42.39
2020-04-15 08:17:41 - INFO: 87,87,30.4,26.18,992.53,41.78
2020-04-15 08:17:51 - INFO: 88,88,30.4,26.26,992.54,42.53
2020-04-15 08:18:01 - INFO: 89,89,30.4,26.2,992.51,42.51
2020-04-15 08:18:11 - INFO: 90,90,30.4,26.22,992.5,42.49
2020-04-15 08:18:21 - INFO: 91,91,30.4,26.22,992.53,42.46
2020-04-15 08:18:32 - INFO: 92,92,30.4,26.26,992.52,42.36
2020-04-15 08:18:42 - INFO: 93,93,29.86,26.2,992.52,42.13
2020-04-15 08:18:52 - INFO: 94,94,29.86,26.13,992.51,42.11
2020-04-15 08:19:02 - INFO: 95,95,30.4,26.2,992.51,42.49
2020-04-15 08:19:12 - INFO: 96,96,30.4,26.24,992.54,43.23
2020-04-15 08:19:22 - INFO: 97,97,30.4,26.24,992.57,42.33
2020-04-15 08:19:32 - INFO: 98,98,30.4,26.27,992.55,42.43
2020-04-15 08:19:42 - INFO: 99,99,30.4,26.17,992.54,42.49
2020-04-15 08:19:53 - INFO: 100,100,29.32,26.2,992.5,42.61
2020-04-15 08:20:03 - INFO: 101,101,29.86,26.2,992.51,42.52
2020-04-15 08:20:13 - INFO: 102,102,30.4,26.17,992.58,42.39
2020-04-15 08:20:23 - INFO: 103,103,30.4,26.17,992.53,42.78
2020-04-15 08:20:33 - INFO: 104,104,30.4,26.22,992.52,42.73
2020-04-15 08:20:43 - INFO: 105,105,30.4,26.09,992.52,42.49
2020-04-15 08:20:53 - INFO: 106,106,29.86,26.2,992.52,43.0
2020-04-15 08:21:03 - INFO: 107,107,30.4,26.13,992.54,42.43
2020-04-15 08:21:14 - INFO: 108,108,30.4,26.15,992.56,42.53
2020-04-15 08:21:24 - INFO: 109,109,30.4,26.09,992.54,43.91
2020-04-15 08:21:34 - INFO: 110,110,30.4,26.24,992.55,43.33
2020-04-15 08:21:44 - INFO: 111,111,30.4,26.09,992.51,41.99
2020-04-15 08:21:54 - INFO: 112,112,30.4,26.2,992.52,42.52
2020-04-15 08:22:04 - INFO: 113,113,30.4,26.27,992.59,42.59
2020-04-15 08:22:14 - INFO: 114,114,30.4,26.15,992.55,42.55
2020-04-15 08:22:24 - INFO: 115,115,30.4,26.13,992.54,42.91
2020-04-15 08:22:35 - INFO: 116,116,30.4,26.15,992.56,43.08
2020-04-15 08:22:45 - INFO: 117,117,30.4,26.17,992.57,42.37
2020-04-15 08:22:55 - INFO: 118,118,29.86,26.22,992.55,42.51
2020-04-15 08:23:05 - INFO: 119,119,30.4,26.22,992.57,42.59
2020-04-15 08:23:15 - INFO: 120,120,30.4,26.18,992.59,42.54
2020-04-15 08:23:25 - INFO: 121,121,30.4,26.15,992.52,42.49
2020-04-15 08:23:35 - INFO: 122,122,29.86,26.08,992.59,43.19
2020-04-15 08:23:46 - INFO: 123,123,30.4,26.15,992.57,42.42
2020-04-15 08:23:56 - INFO: 124,124,30.94,26.13,992.55,43.02
2020-04-15 08:24:06 - INFO: 125,125,29.86,26.11,992.54,42.95
2020-04-15 08:24:16 - INFO: 126,126,30.4,26.2,992.56,42.96
2020-04-15 08:24:26 - INFO: 127,127,30.4,26.17,992.58,42.6
2020-04-15 08:24:36 - INFO: 128,128,30.4,26.09,992.59,42.77
2020-04-15 08:24:46 - INFO: 129,129,29.86,26.18,992.57,42.58
2020-04-15 08:24:56 - INFO: 130,130,30.4,26.13,992.59,42.81
2020-04-15 08:25:07 - INFO: 131,131,30.4,26.18,992.56,42.77
2020-04-15 08:25:17 - INFO: 132,132,30.4,26.26,992.56,41.47
2020-04-15 08:25:27 - INFO: 133,133,30.4,26.15,992.6,43.49
2020-04-15 08:25:37 - INFO: 134,134,30.4,26.11,992.61,42.36
